ID,Measurement Date,Latitude,Longitude,Fixed?,Distance(miles),Bearing,Direction,Type,Derived?,Value,Unit,Source,Description,Meter,Probe
143111,3/17/11 4:11,35.741029,139.361,No,148.5384263,219,SW,Gamma,Yes,0.02,mR/hr,DOE,Field Team: No WIND ;,Health Physics Kit,ADM-300
143113,3/17/11 3:11,35.741151,139.360971,No,148.5328294,219,SW,Gamma,Yes,0.022,mR/hr,DOE,Field Team: in WIND ;,Health Physics Kit,ADM-300
143115,3/17/11 3:09,35.741183,139.360997,No,148.5301921,219,SW,Gamma,Yes,0.018,mR/hr,DOE,Field Team: NO WIND ;,Health Physics Kit,ADM-300
143117,3/17/11 2:06,35.741109,139.361031,No,148.5330159,219,SW,Gamma,Yes,0.024,mR/hr,DOE,Field Team: in WIND ;,Health Physics Kit,ADM-300
143119,3/17/11 2:05,35.741218,139.360711,No,148.5382488,219,SW,Gamma,Yes,0.022,mR/hr,DOE,Field Team: NO WIND ;,Health Physics Kit,ADM-300
143203,3/18/11 0:03,35.741132,139.360934,No,148.5351456,219,SW,Gamma,Yes,0.02,mR/hr,DOE,Field Team: in WIND ;,Health Physics Kit,ADM-300
143205,3/18/11 0:01,35.741051,139.360839,No,148.5428369,219,SW,Gamma,Yes,0.018,mR/hr,DOE,Field Team: No WIND ;,Health Physics Kit,ADM-300
143207,3/17/11 23:04,35.741076,139.36101,No,148.5355334,219,SW,Gamma,Yes,0.024,mR/hr,DOE,Field Team: WIND ;,Health Physics Kit,ADM-300
143209,3/17/11 23:03,35.7411,139.360898,No,148.5381308,219,SW,Gamma,Yes,0.021,mR/hr,DOE,Field Team: NO wind ;,Health Physics Kit,ADM-300
143211,3/17/11 22:06,35.74114,139.361044,No,148.5308851,219,SW,Gamma,Yes,0.017,mR/hr,DOE,Field Team: in WIND ;,Health Physics Kit,ADM-300
143213,3/17/11 22:04,35.741025,139.360946,No,148.5405217,219,SW,Gamma,Yes,0.019,mR/hr,DOE,Field Team: No WIND ;,Health Physics Kit,ADM-300
143215,3/17/11 21:08,35.741154,139.360969,No,148.5327365,219,SW,Gamma,Yes,0.017,mR/hr,DOE,Field Team: in wind ;,Health Physics Kit,ADM-300
143217,3/17/11 21:06,35.741017,139.360835,No,148.544817,219,SW,Gamma,Yes,0.023,mR/hr,DOE,Field Team: No Wind ;,Health Physics Kit,ADM-300
143219,3/15/11 6:15,35.741017,139.360835,No,148.544817,219,SW,Gamma,Yes,0.022,mR/hr,DOE,Field Team: No Wind; Description: Shileded From Wind;,Health Physics Kit,ADM-300
143221,3/15/11 6:15,35.741017,139.360835,No,148.544817,219,SW,Gamma,Yes,0.014,mR/hr,DOE,Field Team: In Wind; Description: Pointed Into Wind;,Health Physics Kit,ADM-300
